name,platform,release_era,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Homefront: The Revolution,Others,post-2010,Shooter,Others,0.06,0.21,0.03,0.05,0.35,48.0,43.0,3.8,212.0,Others,M
Assassin's Creed III,Others,post-2010,Action,Ubisoft,0.19,0.13,0.0,0.03,0.35,85.0,26.0,7.1,216.0,Others,M
One Piece: Burning Blood,Others,post-2010,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66.0,45.0,7.8,49.0,Others,T
Star Wars: Flight of the Falcon,Others,post-2010,Action,THQ,0.25,0.09,0.0,0.01,0.35,39.0,13.0,5.8,11.0,Others,E
One Piece: Gigant Battle 2 Shin Sekai,DS,post-2010,Fighting,Namco Bandai Games,0.0,0.0,0.35,0.0,0.35,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Teenage Mutant Ninja Turtles: Smash-Up,Wii,post-2010,Fighting,Ubisoft,0.33,0.0,0.0,0.03,0.35,67.0,34.0,8.2,21.0,Others,E10+
Toukiden: The Age of Demons,Others,post-2010,Action,Others,0.04,0.04,0.25,0.02,0.35,71.0,44.0,8.0,136.0,Others,T
Metro: Last Light,X360,post-2010,Action,Others,0.17,0.15,0.0,0.03,0.35,80.0,20.0,8.4,440.0,Others,missing
Jikkyou Powerful Pro Yakyuu 2000,Others,2000-2010,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.06,0.35,90.0,20.666666666666668,8.733333333333333,367.6666666666667,missing,missing
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,post-2010,Action,Others,0.15,0.05,0.14,0.01,0.35,68.96767850559173,26.360820941378886,7.125046113306982,162.22990777338603,missing,missing
Football Manager 2016,PC,post-2010,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,Others,E
Resident Evil: Dead Aim,PS2,post-2010,Action,Others,0.17,0.13,0.0,0.04,0.35,65.0,28.0,6.6,48.0,Others,M
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,post-2010,Strategy,Electronic Arts,0.14,0.15,0.0,0.06,0.35,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
Need for Speed Carbon,Others,post-2010,Racing,Electronic Arts,0.27,0.07,0.0,0.01,0.35,75.0,12.0,7.8,14.0,EA Canada,E10+
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Others,post-2010,Action,THQ,0.25,0.09,0.0,0.01,0.35,77.66666666666667,31.666666666666668,7.8999999999999995,97.66666666666667,Others,E
FIFA Soccer 13,PSP,post-2010,Action,Electronic Arts,0.05,0.18,0.02,0.09,0.35,45.333333333333336,18.666666666666668,3.2,19.0,Electronic Arts,E
The Fairly Odd Parents: Shadow Showdown,PS2,post-2010,Platform,THQ,0.17,0.13,0.0,0.04,0.35,88.66666666666667,64.33333333333333,8.700000000000001,664.0,missing,missing
EA Sports MMA,X360,post-2010,Fighting,Electronic Arts,0.23,0.09,0.0,0.02,0.35,79.0,63.0,7.0,55.0,EA Tiburon,T
Saban's Power Rangers: Lightspeed Rescue,PS,2000-2010,Action,THQ,0.19,0.13,0.0,0.02,0.35,90.0,20.666666666666668,8.733333333333333,367.6666666666667,missing,missing
Xbox Music Mixer,XB,post-2010,Misc,Others,0.26,0.08,0.0,0.01,0.35,49.0,12.0,7.933333333333334,22.333333333333332,Others,E
Defiance,PS3,post-2010,Shooter,Others,0.19,0.1,0.0,0.06,0.35,59.0,21.0,6.9,145.0,Others,M
Terminator Salvation,X360,post-2010,Shooter,Others,0.13,0.18,0.0,0.04,0.35,48.0,50.0,5.0,53.0,Others,T
CSI: Deadly Intent - The Hidden Cases,DS,post-2010,Adventure,Ubisoft,0.16,0.15,0.0,0.04,0.35,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
College Hoops 2K8,PS2,post-2010,Sports,Others,0.17,0.13,0.0,0.04,0.35,66.0,4.0,8.0,5.333333333333333,Others,E
Destiny: The Taken King,X360,post-2010,Shooter,Activision,0.24,0.08,0.0,0.03,0.35,67.0,9.666666666666666,4.4,59.0,Others,T
Pac-Man All-Stars,PS3,post-2010,Fighting,Namco Bandai Games,0.2,0.07,0.04,0.04,0.35,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Guitar Hero: Metallica,PS2,post-2010,Misc,Activision,0.17,0.13,0.0,0.04,0.35,58.666666666666664,7.666666666666667,7.6,9.0,Others,T
Guilty Gear X2,PS2,post-2010,Fighting,Others,0.09,0.07,0.16,0.02,0.35,87.0,31.0,8.7,34.0,Others,T
Chicken Shoot,Wii,post-2010,Action,Others,0.32,0.0,0.0,0.02,0.35,27.0,9.0,4.8,26.0,Others,E10+
Tom Clancy's Rainbow Six: Lockdown,PS2,post-2010,Shooter,Ubisoft,0.17,0.13,0.0,0.04,0.35,70.0,15.0,6.9,9.0,Others,M
From TV Animation One Piece: Tobidase Kaizokudan!,PS,post-2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.32,0.02,0.35,93.66666666666667,49.0,8.766666666666666,762.6666666666666,missing,missing
MotoGP 08,X360,post-2010,Racing,Others,0.11,0.2,0.0,0.04,0.35,68.0,20.0,5.6,12.0,Others,E
LEGO Marvel's Avengers,Others,post-2010,Action,Others,0.19,0.12,0.0,0.03,0.35,71.0,18.0,5.1,15.0,Others,E10+
The Tale of Despereaux,PS2,post-2010,Platform,Others,0.17,0.13,0.0,0.04,0.35,91.0,80.0,8.366666666666667,1774.0,Others,E10+
Aggressive Inline,PS2,post-2010,Sports,Others,0.17,0.13,0.0,0.04,0.35,85.0,31.0,8.7,14.0,Others,T
Mirror's Edge Catalyst,Others,post-2010,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69.0,50.0,4.7,578.0,Others,T
Sniper Elite 3,Others,post-2010,Shooter,Others,0.2,0.11,0.0,0.03,0.35,63.0,12.0,6.6,68.0,Others,M
Hello Kitty Daily,DS,post-2010,Misc,Others,0.32,0.0,0.0,0.03,0.35,91.0,80.0,8.366666666666667,1774.0,missing,missing
NFL Street,Others,post-2010,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35,81.0,30.0,8.0,4.0,EA Tiburon,E
Karaoke Revolution,PS2,post-2010,Misc,Konami Digital Entertainment,0.17,0.13,0.0,0.04,0.35,83.0,29.0,9.1,17.0,Others,E
Metal Arms: Glitch in the System,PS2,post-2010,Shooter,Others,0.17,0.13,0.0,0.04,0.35,81.0,28.0,8.9,17.0,Others,T
Tropico 4,X360,post-2010,Strategy,Others,0.2,0.12,0.0,0.03,0.35,77.0,18.0,7.5,37.0,Others,T
Jikkyou Powerful Pro Yakyuu 7,PS2,2000-2010,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0,0.35,90.0,20.666666666666668,8.733333333333333,367.6666666666667,missing,missing
Rally Cross 2,PS,pre_2000s,Racing,Others,0.19,0.13,0.0,0.02,0.35,83.0,13.333333333333334,8.5,193.0,missing,missing
EverGrace,PS2,2000-2010,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,59.0,12.0,7.8,4.0,Others,T
Enemy Territory: Quake Wars,PS3,post-2010,Shooter,Activision,0.23,0.07,0.0,0.04,0.35,60.0,30.0,6.4,14.0,Others,T
Lunar 2: Eternal Blue Complete,PS,pre_2000s,Role-Playing,Others,0.19,0.13,0.0,0.02,0.35,86.0,12.0,8.9,37.0,Others,T
Street Fighter Alpha: Warriors' Dreams,Others,pre_2000s,Fighting,Others,0.0,0.0,0.35,0.0,0.35,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Rugrats: Royal Ransom,PS2,post-2010,Platform,THQ,0.17,0.13,0.0,0.04,0.35,91.66666666666667,50.666666666666664,8.6,434.6666666666667,Others,E
MLB 06: The Show,PSP,post-2010,Sports,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.35,83.0,30.0,8.5,32.0,Others,E
Over the Hedge,Others,post-2010,Platform,Activision,0.27,0.07,0.0,0.01,0.35,61.0,21.0,9.3,6.0,Others,E10+
Tomb Raider (2013),PC,post-2010,Action,Others,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,Others,M
Charlie and the Chocolate Factory,PS2,post-2010,Adventure,Others,0.17,0.13,0.0,0.04,0.35,35.0,21.0,4.1,28.0,Others,E
TrackMania Turbo,Others,post-2010,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,52.0,7.9,110.0,Others,E
Kurushi Final: Mental Blocks,PS,pre_2000s,Puzzle,Sony Computer Entertainment,0.0,0.0,0.32,0.02,0.34,83.0,13.333333333333334,8.5,193.0,missing,missing
Risk / Battleship / Clue,Others,post-2010,Misc,Others,0.25,0.09,0.0,0.01,0.34,88.33333333333333,62.0,8.299999999999999,385.6666666666667,missing,missing
Tiger Woods PGA Tour 12: The Masters,Wii,post-2010,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34,85.0,14.0,6.7,7.0,Electronic Arts,E
Def Jam Icon,X360,post-2010,Action,Electronic Arts,0.3,0.01,0.0,0.03,0.34,69.0,48.0,6.3,108.0,Others,M
SD Gundam G Generation World,PSP,post-2010,Strategy,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
The Wild Thornberrys Movie,Others,post-2010,Platform,THQ,0.25,0.09,0.0,0.01,0.34,91.66666666666667,50.666666666666664,8.6,434.6666666666667,Others,E
High School Musical 3: Senior Year DANCE!,PS2,post-2010,Misc,Others,0.17,0.13,0.0,0.04,0.34,91.0,80.0,8.366666666666667,1774.0,missing,missing
Hannah Montana: The Movie,Wii,post-2010,Adventure,Others,0.13,0.18,0.0,0.04,0.34,82.33333333333333,62.0,7.933333333333333,279.3333333333333,Others,E
Dynasty Warriors 5 Empires,PS2,post-2010,Action,Others,0.11,0.09,0.12,0.03,0.34,62.0,23.0,9.1,24.0,Others,T
Call of Duty: Ghosts,Others,post-2010,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,6.0,3.4,256.0,Others,M
Transformers: Dark of the Moon,PS3,post-2010,Action,Activision,0.11,0.18,0.0,0.06,0.34,57.0,41.0,5.6,27.0,Others,T
SoulCalibur,Others,pre_2000s,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,98.0,24.0,8.8,200.0,Others,T
WipEout 3,PS,pre_2000s,Racing,Others,0.19,0.13,0.0,0.02,0.34,89.0,14.0,8.5,15.0,Others,E
UEFA Euro 2008 Austria-Switzerland,X360,post-2010,Sports,Electronic Arts,0.08,0.23,0.0,0.03,0.34,91.0,80.0,8.366666666666667,1774.0,missing,missing
SpongeBob's Boating Bash,Wii,post-2010,Misc,THQ,0.24,0.07,0.0,0.03,0.34,70.0,9.0,7.6,5.0,Others,E
Classic NES Series: Ice Climber,Others,post-2010,Platform,Nintendo,0.1,0.04,0.2,0.01,0.34,66.0,12.0,7.966666666666666,10.0,Others,E
Pirates of the Caribbean: At World's End,DS,post-2010,Action,Others,0.3,0.01,0.01,0.03,0.34,66.0,14.0,8.0,5.333333333333333,Others,E10+
WWE '12,Wii,post-2010,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,Others,T
WWE All Stars,X360,post-2010,Fighting,THQ,0.18,0.14,0.0,0.03,0.34,75.0,64.0,7.2,45.0,Others,T
Mini Ninjas,PS3,post-2010,Action,Others,0.14,0.15,0.0,0.06,0.34,73.0,37.0,8.7,62.0,Others,E10+
Tekken Tag Tournament 2,X360,post-2010,Fighting,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,83.0,35.0,7.5,90.0,Others,T
Freeway,Others,pre_2000s,Action,Activision,0.32,0.02,0.0,0.0,0.34,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Driver 2 Advance,Others,post-2010,Action,Others,0.25,0.09,0.0,0.01,0.34,73.0,9.0,6.6,14.0,Others,T
Monster Rancher 4,PS2,post-2010,Simulation,Others,0.08,0.06,0.19,0.02,0.34,77.0,21.0,9.1,18.0,Others,E
Mini Ninjas,DS,post-2010,Action,Others,0.16,0.15,0.0,0.04,0.34,61.0,10.0,5.8,4.0,Others,E10+
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,post-2010,Adventure,Others,0.17,0.13,0.0,0.04,0.34,65.0,34.0,8.6,20.0,Capcom,E10+
Iron Storm,Others,pre_2000s,Shooter,Sega,0.0,0.0,0.34,0.0,0.34,89.66666666666667,12.0,7.833333333333333,301.0,missing,missing
Battalion Wars 2,Wii,post-2010,Strategy,Nintendo,0.22,0.02,0.08,0.02,0.34,75.0,38.0,7.6,45.0,Others,T
MotorStorm: Arctic Edge,PS2,post-2010,Racing,Sony Computer Entertainment,0.07,0.03,0.0,0.25,0.34,72.0,10.0,8.3,6.0,Others,T
The Fairly Odd Parents: Shadow Showdown,Others,post-2010,Platform,THQ,0.25,0.09,0.0,0.01,0.34,88.66666666666667,64.33333333333333,8.700000000000001,664.0,missing,missing
Marvel Super Heroes,PS,pre_2000s,Fighting,Others,0.19,0.13,0.0,0.02,0.34,91.0,16.333333333333332,9.0,1527.0,missing,missing
Super Bust-A-Move,PS2,2000-2010,Puzzle,Others,0.17,0.13,0.0,0.04,0.34,75.0,11.0,8.299999999999999,18.333333333333332,Others,E
Hitman: Contracts,XB,post-2010,Shooter,Others,0.26,0.07,0.0,0.01,0.34,78.0,44.0,8.8,15.0,Others,M
Supreme Commander 2,X360,post-2010,Strategy,Others,0.23,0.09,0.0,0.03,0.34,75.0,28.0,7.1,23.0,Others,E10+
Thunderstrike: Operation Phoenix,PS2,post-2010,Simulation,Others,0.17,0.13,0.0,0.04,0.34,65.0,15.0,8.1,7.0,Others,T
Frostbite,Others,pre_2000s,Action,Activision,0.32,0.02,0.0,0.0,0.34,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Alien's Return,Others,pre_2000s,Action,Others,0.32,0.02,0.0,0.0,0.34,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Mario & Sonic at the Rio 2016 Olympic Games,Others,post-2010,Action,Nintendo,0.07,0.14,0.11,0.02,0.34,86.0,72.66666666666667,6.633333333333333,3227.0,missing,missing
Avatar: The Last Airbender - The Burning Earth,DS,post-2010,Action,THQ,0.31,0.0,0.0,0.03,0.34,76.0,51.333333333333336,7.3,1458.3333333333333,missing,missing
Racquet Sports,PS3,post-2010,Sports,Ubisoft,0.11,0.17,0.0,0.06,0.34,45.0,17.0,4.3,8.0,Others,E
Company of Heroes 2,PC,post-2010,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,80.0,82.0,2.1,6157.0,Others,M
Trauma Center: Second Opinion,Wii,post-2010,Simulation,Nintendo,0.28,0.01,0.03,0.03,0.34,80.0,49.0,8.0,47.0,Others,T
DanceDanceRevolution,Wii,post-2010,Simulation,Konami Digital Entertainment,0.28,0.04,0.0,0.02,0.34,78.66666666666667,64.0,6.333333333333333,884.6666666666666,Konami,E
WWE Day of Reckoning 2,Others,post-2010,Fighting,THQ,0.26,0.07,0.0,0.01,0.34,76.0,36.0,6.0,263.0,Others,T
NBA 2K12,Wii,post-2010,Sports,Others,0.29,0.03,0.0,0.02,0.34,60.0,5.666666666666667,6.8,6.0,Others,E
The Urbz: Sims in the City,XB,post-2010,Simulation,Electronic Arts,0.22,0.11,0.0,0.01,0.34,70.0,28.0,6.5,10.0,Others,T
Fantastic Voyage,Others,pre_2000s,Action,Others,0.32,0.02,0.0,0.0,0.34,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,post-2010,Sports,Sega,0.09,0.19,0.0,0.07,0.34,78.66666666666667,64.0,6.333333333333333,884.6666666666666,missing,missing
Night Warriors: Darkstalkers' Revenge,Others,pre_2000s,Fighting,Others,0.0,0.0,0.34,0.0,0.34,89.66666666666667,12.0,7.833333333333333,301.0,missing,missing
Rayman Legends,Others,post-2010,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,91.0,6.0,7.9,218.0,Others,E10+
SpongeBob SquarePants: The Yellow Avenger,DS,post-2010,Action,THQ,0.31,0.0,0.0,0.02,0.34,67.0,5.0,7.6,10.0,Others,E
Monopoly,PS3,post-2010,Misc,Electronic Arts,0.25,0.05,0.0,0.04,0.34,54.0,4.0,6.7,13.0,Electronic Arts,E
SimCity Creator,DS,post-2010,Simulation,Electronic Arts,0.29,0.02,0.0,0.03,0.34,69.0,16.0,7.3,8.0,Electronic Arts,E
Off Road Challenge,Others,pre_2000s,Racing,Others,0.27,0.06,0.0,0.0,0.34,83.0,13.333333333333334,8.5,193.0,missing,missing
Tenchu Z,X360,post-2010,Action,Others,0.27,0.02,0.02,0.03,0.34,56.0,51.0,7.3,58.0,Others,M
Bank Heist,Others,pre_2000s,Action,Others,0.32,0.02,0.0,0.0,0.34,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Conan,PS3,post-2010,Action,THQ,0.13,0.15,0.0,0.05,0.34,69.0,35.0,7.2,40.0,Others,M
Backstreet Billiards,PS,pre_2000s,Misc,Others,0.19,0.13,0.0,0.02,0.34,83.0,13.333333333333334,8.5,193.0,missing,missing
Carnival,Others,pre_2000s,Shooter,Others,0.32,0.02,0.0,0.0,0.34,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Leisure Suit Larry: Magna Cum Laude,PS2,post-2010,Adventure,Others,0.17,0.13,0.0,0.04,0.34,60.0,44.0,6.3,18.0,Others,M
MVP 06 NCAA Baseball,XB,post-2010,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.34,75.0,29.0,8.6,17.0,EA Canada,E
Naruto Shippuden: Ultimate Ninja Impact,PSP,post-2010,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34,59.0,16.0,7.2,26.0,Others,T
Momotarou Dentetsu DS: Tokyo & Japan,DS,post-2010,Misc,Others,0.0,0.0,0.34,0.0,0.34,76.0,51.333333333333336,7.3,1458.3333333333333,missing,missing
Point Blank,PS,pre_2000s,Shooter,Sony Computer Entertainment,0.05,0.03,0.23,0.02,0.34,91.0,16.333333333333332,9.0,1527.0,missing,missing
Disney Infinity 3.0,Others,post-2010,Action,Others,0.2,0.11,0.0,0.03,0.34,85.33333333333333,61.666666666666664,7.066666666666666,2387.0,missing,missing
Speed Racer: The Videogame,DS,post-2010,Racing,Others,0.28,0.04,0.0,0.03,0.34,91.0,80.0,8.366666666666667,1774.0,missing,missing
F.E.A.R.,X360,post-2010,Shooter,Others,0.28,0.03,0.0,0.03,0.34,85.0,44.0,7.3,131.0,Others,M
Tiny Tank,PS,pre_2000s,Action,Sony Computer Entertainment,0.19,0.13,0.0,0.02,0.34,83.0,13.333333333333334,8.5,193.0,missing,missing
Yu-Gi-Oh! 5D's Tag Force 5,PSP,post-2010,Strategy,Konami Digital Entertainment,0.13,0.04,0.14,0.03,0.34,78.66666666666667,64.0,6.333333333333333,884.6666666666666,missing,missing
Tom Clancy's Ghost Recon: Shadow Wars,Others,post-2010,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34,77.0,49.0,7.9,78.0,Ubisoft,T
Smart Girl's Party Game,DS,post-2010,Misc,Others,0.31,0.0,0.0,0.02,0.34,91.0,80.0,8.366666666666667,1774.0,Others,E
Spy Hunter,XB,post-2010,Racing,Others,0.25,0.07,0.0,0.01,0.34,71.0,19.0,8.166666666666666,42.333333333333336,Others,T
James Bond 007: Legends,PS3,post-2010,Shooter,Activision,0.11,0.16,0.0,0.07,0.34,81.33333333333333,54.666666666666664,5.766666666666667,1200.6666666666667,missing,missing
The Sims 3: Town Life Stuff,PC,post-2010,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34,67.0,6.0,6.3,14.0,Others,T
Herbie: Fully Loaded,Others,post-2010,Racing,Others,0.24,0.09,0.0,0.01,0.34,47.0,9.0,6.8,4.0,Others,E
Teenage Mutant Ninja Turtles,Others,post-2010,Action,Konami Digital Entertainment,0.26,0.07,0.0,0.01,0.34,57.0,25.0,8.0,8.0,Konami,E
Kameo: Elements of Power,X360,post-2010,Action,Others,0.28,0.03,0.0,0.03,0.34,79.0,76.0,8.1,107.0,Others,T
Football Manager Handheld 2008,PSP,post-2010,Sports,Sega,0.0,0.33,0.0,0.0,0.34,76.0,51.333333333333336,7.3,1458.3333333333333,missing,missing
Dynasty Warriors 6 Empires,PS3,post-2010,Action,Others,0.14,0.03,0.15,0.02,0.34,62.0,22.0,7.0,26.0,Others,T
The Shoot,PS3,post-2010,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34,60.0,39.0,6.2,11.0,Others,T
Disney Sing It: Pop Hits,PS2,post-2010,Misc,Others,0.1,0.02,0.0,0.22,0.34,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
Dead or Alive 5,Others,post-2010,Fighting,Others,0.09,0.13,0.08,0.04,0.34,85.33333333333333,61.666666666666664,7.066666666666666,2387.0,missing,missing
My Baby Boy,DS,post-2010,Simulation,Others,0.3,0.01,0.0,0.03,0.34,91.0,80.0,8.366666666666667,1774.0,Others,E
Puzzle Quest: Challenge of the Warlords,DS,post-2010,Puzzle,Others,0.28,0.0,0.03,0.02,0.34,82.0,41.0,8.7,32.0,Others,E10+
Dynasty Warriors: Gundam 2,PS2,post-2010,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,52.0,8.0,6.5,8.0,Others,T
Star Ocean: Second Evolution,PSP,post-2010,Role-Playing,Others,0.14,0.01,0.16,0.02,0.34,75.0,37.0,7.1,26.0,Others,T
Imagine: Movie Star,DS,post-2010,Simulation,Ubisoft,0.31,0.0,0.0,0.03,0.34,91.0,80.0,8.366666666666667,1774.0,Others,E
Fade to Black,PS,pre_2000s,Action,Electronic Arts,0.19,0.13,0.0,0.02,0.34,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
MXRider,PS2,post-2010,Racing,Others,0.16,0.13,0.0,0.04,0.34,69.0,16.0,6.8,6.0,Others,E
Disney Magic World 2,Others,post-2010,Action,Nintendo,0.02,0.11,0.19,0.01,0.34,85.33333333333333,61.666666666666664,7.066666666666666,2387.0,missing,missing
Delta Force: Black Hawk Down,XB,post-2010,Shooter,Others,0.25,0.07,0.0,0.01,0.34,61.0,37.0,6.6,19.0,Others,T
Pirates of the Caribbean: At World's End,X360,post-2010,Action,Others,0.29,0.02,0.0,0.03,0.34,58.0,42.0,5.3,21.0,Others,T
Angry Birds Star Wars,Others,post-2010,Strategy,Activision,0.15,0.15,0.0,0.03,0.34,43.0,9.333333333333334,3.0,8.0,Others,E
World Championship Poker 2: Featuring Howard Lederer,PS2,post-2010,Misc,Others,0.16,0.13,0.0,0.04,0.34,67.0,20.0,7.166666666666667,11.666666666666666,Others,T
The Eye of Judgment,PS3,post-2010,Misc,Sony Computer Entertainment,0.28,0.0,0.02,0.03,0.33,75.0,43.0,8.2,51.0,Others,T
Sengoku Musou 3 Z,PS3,post-2010,Action,Others,0.0,0.0,0.33,0.0,0.33,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Tom Clancy's Ghost Recon Advanced Warfighter,XB,post-2010,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33,66.0,14.0,6.0,27.0,Others,T
Iron Man 2,DS,post-2010,Action,Sega,0.14,0.16,0.0,0.03,0.33,54.0,7.0,5.833333333333333,22.0,Others,E10+
Tokyo Highway Battle,PS,pre_2000s,Racing,Others,0.06,0.04,0.21,0.02,0.33,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
NHL 09,PS3,post-2010,Sports,Electronic Arts,0.29,0.02,0.0,0.03,0.33,88.0,25.0,7.7,41.0,EA Canada,E10+
World of Final Fantasy,Others,post-2010,Role-Playing,Others,0.08,0.14,0.08,0.04,0.33,77.0,74.0,8.3,222.0,Others,E10+
Beyond Good & Evil,PS2,post-2010,Adventure,Ubisoft,0.16,0.13,0.0,0.04,0.33,77.66666666666667,31.666666666666668,7.8999999999999995,97.66666666666667,missing,missing
Banjo-Kazooie: Grunty's Revenge,Others,post-2010,Platform,THQ,0.24,0.09,0.0,0.01,0.33,72.0,21.0,8.1,18.0,Others,E
Bomberman World,PS,pre_2000s,Puzzle,Sony Computer Entertainment,0.06,0.04,0.22,0.02,0.33,83.0,13.333333333333334,8.5,193.0,missing,missing
Bejeweled 3,DS,post-2010,Puzzle,Others,0.29,0.02,0.0,0.02,0.33,75.0,9.0,5.966666666666666,92.33333333333333,Others,E
NHL 17,Others,post-2010,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,26.0,5.8,67.0,Others,E10+
Mega Man ZX Advent,DS,post-2010,Platform,Others,0.22,0.0,0.09,0.02,0.33,78.0,27.0,8.6,32.0,Others,E10+
Transformers: Revenge of the Fallen (DS Versions),DS,post-2010,Action,Activision,0.17,0.13,0.0,0.03,0.33,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
NCAA Basketball 10,PS3,post-2010,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33,75.0,17.0,7.8,6.0,EA Canada,E
Star Ocean 5: Integrity and Faithlessness,Others,post-2010,Role-Playing,Others,0.07,0.09,0.15,0.03,0.33,86.0,72.66666666666667,6.633333333333333,3227.0,missing,missing
Jeanne d'Arc,PSP,post-2010,Role-Playing,Sony Computer Entertainment,0.21,0.0,0.1,0.02,0.33,87.0,45.0,8.2,74.0,Others,T
Deathtrap Dungeon,PS,pre_2000s,Action,Others,0.19,0.13,0.0,0.02,0.33,83.0,13.333333333333334,8.5,193.0,missing,missing
Tales of the World: Radiant Mythology 2,PSP,post-2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
Night at the Museum: Battle of the Smithsonian,DS,post-2010,Action,Others,0.12,0.18,0.0,0.04,0.33,82.33333333333333,62.0,7.933333333333333,279.3333333333333,Others,E
Harry Potter and the Deathly Hallows - Part 2,X360,post-2010,Action,Electronic Arts,0.19,0.11,0.0,0.03,0.33,44.0,31.0,5.4,24.0,Others,T
Avatar: The Last Airbender,DS,post-2010,Adventure,THQ,0.3,0.01,0.0,0.03,0.33,64.0,9.0,6.4,7.0,Others,E
Ape Escape Academy,PSP,post-2010,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33,51.0,48.0,5.8,4.0,Others,E10+
WWE Wrestlemania XIX,Others,post-2010,Fighting,THQ,0.26,0.07,0.0,0.01,0.33,76.0,26.0,8.7,47.0,Others,T
The Sims 2,Others,post-2010,Simulation,Electronic Arts,0.26,0.07,0.0,0.01,0.33,73.0,22.0,8.3,8.0,Others,T
Hulk,XB,post-2010,Action,Others,0.25,0.07,0.0,0.01,0.33,69.0,25.0,7.7,9.0,Others,T
Untold Legends: The Warriors Code,PSP,post-2010,Role-Playing,Ubisoft,0.14,0.12,0.0,0.08,0.33,65.0,46.0,8.3,28.0,Others,T
Klonoa 2: Lunatea's Veil,PS2,post-2010,Platform,Sony Computer Entertainment,0.12,0.1,0.08,0.03,0.33,91.0,18.0,9.1,72.0,Others,E
Deus Ex: Invisible War,XB,post-2010,Shooter,Others,0.25,0.07,0.0,0.01,0.33,84.0,50.0,7.6,37.0,Others,M
Disney's Treasure Planet,PS2,post-2010,Action,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,91.66666666666667,50.666666666666664,8.6,434.6666666666667,Others,E
NASCAR Thunder 2002,XB,post-2010,Racing,Electronic Arts,0.25,0.07,0.0,0.01,0.33,82.0,17.0,7.333333333333335,14.666666666666666,EA Tiburon,E
